time,Q_proxy_fallback
2025-07-04 22:20:00,0.14453579850593454
2025-07-04 22:21:00,0.07298271470570165
2025-07-04 22:22:00,0.023179475155820053
2025-07-04 22:23:00,0.12026356287016925
2025-07-04 22:24:00,0.25274767731306025
2025-07-04 22:25:00,0.40161921365759407
2025-07-04 22:26:00,0.4656235819880597
2025-07-04 22:27:00,0.5028863960016824
2025-07-04 22:28:00,0.4204369982009284
2025-07-04 22:29:00,0.3985708016110915
2025-07-04 22:30:00,0.42432496037148293
2025-07-04 22:31:00,0.46704047486273936
2025-07-04 22:32:00,0.5765154723833913
2025-07-04 22:33:00,0.5817860044800724
2025-07-04 22:34:00,0.6223851066625967
2025-07-04 22:35:00,1.1208996362311359
2025-07-04 22:36:00,2.0887282122795954
2025-07-04 22:37:00,2.492622519556059
2025-07-04 22:38:00,2.4273328764499658
2025-07-04 22:39:00,1.9403473562317743
